RA30;CODIGO_INVENTARIO;CODIGO_SEGMENTO_PISTA;CODIGO_PAVIMENTO;CODIGO_VOLUME;CODIGO_ROTA;DATA_ANALISE;NOME_RUA;COMPRIMENTO;LARGURA_PISTA;IDADE;ANO_ULTIMA_MR;CODIGO_MR;CODIGO_POCOVISITA;CODIGO_INTERFERENCIA;CODIGO_CALCADA;CODIGO_DRENAGEM;CODIGO_SUBLEITO;CODIGO_ESTRUTURA;CODIGO_SENTIDO;CODIGO_GRID;DA_RUA;ATE_RUA;NUMERO_FAIXAS;RAIZ;BOCA_LOBO;CODIGO_CONDICAO_DRENAGEM;CODIGO_ESTACIONAMENTO;CODIGO_MEIOFIO;CODIGO_CONDICAO_MEIOFIO;CODIGO_CONDICAO_CALCADA;CODIGO_HIERARQUIA;VELOCIDADE_VIA;VEICULOS_PESADOS;
1;1745;2378;1;1;;19/01/10;;;24;;;;;;2;1;3;;1;;;;6;N;N;3;2;1;3;;2;80;5;
1;1754;2380;1;1;;19/01/10;;;24;;;;;;2;1;3;;1;;;;6;N;N;3;2;1;3;;2;80;30;
1;41593;2379;1;1;;01/07/11;;;24;;;;;;2;1;3;;1;;;;6;N;S;3;2;1;3;;3;60;20;
1;41437;1278;1;1;;30/06/11;;;24;;;;;;2;1;3;;1;;;;6;N;S;3;2;1;3;;3;60;20;
1;9470;4102;6;5;;09/06/10;;;7,5;;;;;;2;1;3;;2;;;;2;N;N;3;2;2;;;4;40;1;
1;44894;6044;1;2;;08/08/11;;;7,5;;;;;;2;1;3;;1;;;;2;N;N;3;2;1;2;;4;40;7;
1;41590;1413;1;3;;01/07/11;;;7,5;;;;;;3;1;3;;1;;;;2;N;S;3;2;1;3;3;3;60;3;
1;41950;10480;1;3;;06/07/11;;;14;;;;1;;3;1;3;;2;;;;4;N;S;3;2;1;3;3;4;40;2;
1;41952;10558;1;2;;06/07/11;;;7,5;;;;;;2;1;3;;1;;;;2;N;N;3;2;1;3;;3;60;10;
1;41151;12102;1;1;;29/06/11;;;21;;;;;;1;1;3;;1;;;;6;N;S;3;2;1;3;3;3;60;20;
1;20800;10582;1;4;;18/11/10;;;7,5;;;;;;2;1;3;;1;;;;2;N;N;3;2;1;3;;4;40;3;
1;17473;10583;1;4;;06/10/10;;;5;;;;;;1;1;3;;1;;;;1;N;N;3;2;3;2;3;5;30;5;
1;12877;10584;1;3;;06/08/10;;;10;;;;;;1;1;3;;1;;;;3;N;N;3;2;1;3;3;4;40;5;
1;12880;10585;1;4;;06/08/10;;;7,5;;;;;;1;1;3;;2;;;;2;N;S;3;1;1;3;3;5;30;5;
1;12979;10586;1;5;;09/08/10;;;7,5;;;;;;1;1;3;;2;;;;2;N;S;3;1;1;3;3;5;30;1;
1;12874;10587;1;5;;06/08/10;;;7,5;;;;1;;1;1;3;;1;;;;2;N;N;3;1;1;3;3;5;30;5;
1;12873;10588;1;4;;06/08/10;;;7,5;;;;;;1;1;3;;1;;;;2;N;N;3;1;1;3;3;5;30;2;
1;12751;10589;1;3;;05/08/10;;;7,5;;;;;;1;1;3;;2;;;;2;N;S;3;2;1;3;3;4;40;7;
1;12878;10590;1;3;;06/08/10;;;10;;;;;;1;1;3;;1;;;;3;N;N;3;1;1;3;2;4;40;5;
1;12876;10591;1;4;;06/08/10;;;7,5;;;;2;;1;1;3;;1;;;;2;N;N;3;1;1;2;3;5;30;5;
1;12752;10592;1;3;;05/08/10;;;7,5;;;;;;1;1;3;;2;;;;2;N;S;3;2;1;3;3;4;40;7;
